Team,League,Wins,ERA,Runs,Hits,Walks,Saves ,Errors
Baltimore,0,64,5.15,741,1633,546,31,90
Boston,0,95,4.35,872,1494,530,41,82
Chicago White Sox,0,79,4.14,724,1438,507,36,113
Cleveland,0,65,5.06,773,1570,598,25,97
Detroit,0,86,4.29,743,1449,594,42,88
Kansas City,0,65,4.83,686,1486,600,34,116
Los Angeles Angels,0,97,4.45,883,1513,523,51,85
Minnesota,0,86,4.50,817,1542,466,48,76
New York Yankees,0,103,4.26,915,1386,574,51,86
Oakland,0,75,4.26,759,1486,523,38,105
Seattle,0,85,3.87,640,1359,534,49,105
Tampa Bay,0,84,4.33,803,1421,515,41,98
Texas,0,87,4.38,764,1432,531,45,106
Toronto,0,75,4.47,798,1509,551,25,76
Arizona,1,70,4.42,720,1470,525,36,124
Atlanta,1,86,3.57,735,1399,530,38,96
Chicago Cubs,1,83,3.84,707,1329,586,40,105
Cincinnati,1,78,4.18,673,1420,577,41,89
Colorado,1,92,4.22,804,1427,528,45,87
Florida,1,87,4.29,772,1425,601,45,106
Houston,1,74,4.54,643,1521,546,39,78
Los Angeles Dodgers,1,95,3.41,780,1265,584,44,83
Milwaukee,1,80,4.83,785,1498,607,44,98
New York Mets,1,70,4.45,671,1452,616,39,97
Philadelphia,1,93,4.16,820,1479,489,44,76
Pittsburgh,1,62,4.59,636,1491,563,28,73
St. Louis,1,91,3.66,730,1407,460,43,96
San Diego,1,75,4.37,638,1422,603,45,94
San Francisco,1,88,3.55,657,1268,584,41,88
Washington,1,59,5.00,710,1533,629,33,143
